Benchmark,Contest,Subject,Mode,N,Correct,Invalid,Accuracy,Invalid_Rate,TPS,Wall_Time,Total_Tokens,Avg_Tokens,Max_Tokens,P50_Tokens,P95_Tokens
KMMLU,True,Accounting,NON-REASONING,50,21,0,42.0,0.0,1156.4399195841368,0.1729445660021156,200,4.0,4,4.0,4.0
KMMLU,True,Agricultural-Sciences,NON-REASONING,50,15,0,30.0,0.0,2159.144983458902,0.09726072200282943,210,4.2,6,4.0,6.0
KMMLU,True,Aviation-Engineering-and-Maintenance,NON-REASONING,50,18,0,36.0,0.0,2248.170051411905,0.08896124199964106,200,4.0,4,4.0,4.0
KMMLU,True,Biology,NON-REASONING,50,17,0,34.0,0.0,2350.297009255286,0.08509562800463755,200,4.0,4,4.0,4.0
KMMLU,True,Chemical-Engineering,NON-REASONING,50,20,0,40.0,0.0,2029.9292152325884,0.09852560301078483,200,4.0,4,4.0,4.0
KMMLU,True,Chemistry,NON-REASONING,50,19,0,38.0,0.0,2170.744817976131,0.09213427499344107,200,4.0,4,4.0,4.0
KMMLU,True,Civil-Engineering,NON-REASONING,50,14,0,28.000000000000004,0.0,1779.465628578624,0.11239329200179782,200,4.0,4,4.0,4.0
KMMLU,True,Computer-Science,NON-REASONING,50,24,2,48.0,4.0,2392.025673831495,0.08319308700447436,199,3.98,5,4.0,4.0
KMMLU,True,Construction,NON-REASONING,50,23,0,46.0,0.0,2094.2424441813314,0.09645492600975558,202,4.04,6,4.0,4.0
KMMLU,True,Criminal-Law,NON-REASONING,50,13,0,26.0,0.0,1159.8782628607253,0.17415620799874887,202,4.04,6,4.0,4.0
KMMLU,True,Economics,NON-REASONING,50,30,0,60.0,0.0,1706.140176351996,0.11839589900046121,202,4.04,6,4.0,4.0
KMMLU,True,Education,NON-REASONING,50,23,0,46.0,0.0,1679.7393924814687,0.11906608899880666,200,4.0,4,4.0,4.0
KMMLU,True,Electrical-Engineering,NON-REASONING,50,16,0,32.0,0.0,2057.5769284235753,0.09720171199296601,200,4.0,4,4.0,4.0
KMMLU,True,Electronics-Engineering,NON-REASONING,50,26,0,52.0,0.0,2189.824882468683,0.09133150399429724,200,4.0,4,4.0,4.0
KMMLU,True,Energy-Management,NON-REASONING,50,6,0,12.0,0.0,2014.326494373139,0.09928876999765635,200,4.0,4,4.0,4.0
KMMLU,True,Environmental-Science,NON-REASONING,50,14,0,28.000000000000004,0.0,1955.8977836245588,0.10736757398990449,210,4.2,6,4.0,6.0
KMMLU,True,Gas-Technology-and-Engineering,NON-REASONING,50,13,0,26.0,0.0,2068.84503911679,0.0966722960001789,200,4.0,4,4.0,4.0
KMMLU,True,Geomatics,NON-REASONING,50,18,0,36.0,0.0,2066.5065454314627,0.09678169200196862,200,4.0,4,4.0,4.0
KMMLU,True,Health,NON-REASONING,50,29,0,57.99999999999999,0.0,1868.7507922450782,0.10702336599933915,200,4.0,4,4.0,4.0
KMMLU,True,Industrial-Engineer,NON-REASONING,50,20,0,40.0,0.0,2127.4224798320893,0.09401047600840684,200,4.0,4,4.0,4.0
KMMLU,True,Information-Technology,NON-REASONING,50,19,0,38.0,0.0,2440.3660558419724,0.08195491800142918,200,4.0,4,4.0,4.0
KMMLU,True,Interior-Architecture-and-Design,NON-REASONING,50,25,0,50.0,0.0,2369.3951482203283,0.08440972800599411,200,4.0,4,4.0,4.0
KMMLU,True,Korean-History,NON-REASONING,50,20,1,40.0,2.0,1652.8398451398257,0.1470196890004445,243,4.86,7,4.0,6.0
KMMLU,True,Management,NON-REASONING,50,19,0,38.0,0.0,1740.2018695273355,0.11492919499869458,200,4.0,4,4.0,4.0
KMMLU,True,Marketing,NON-REASONING,50,25,0,50.0,0.0,2142.012608422965,0.09337013200274669,200,4.0,4,4.0,4.0
KMMLU,True,Math,NON-REASONING,50,18,0,36.0,0.0,2089.433106898742,0.09571974299615249,200,4.0,4,4.0,4.0
KMMLU,True,Patent,NON-REASONING,50,20,0,40.0,0.0,1000.4903253191932,0.19990198299637996,200,4.0,4,4.0,4.0
KMMLU,True,Political-Science-and-Sociology,NON-REASONING,50,29,1,57.99999999999999,2.0,1555.2445186858258,0.13052609899023082,203,4.06,7,4.0,4.0
KMMLU,True,Real-Estate,NON-REASONING,50,14,0,28.000000000000004,0.0,1453.8958196345418,0.14031266700476408,204,4.08,6,4.0,4.0
KMMLU,True,Social-Welfare,NON-REASONING,50,17,0,34.0,0.0,1935.239587547796,0.10334637699997984,200,4.0,4,4.0,4.0
KMMLU,True,Taxation,NON-REASONING,50,18,0,36.0,0.0,1322.284403421453,0.15276592499867547,202,4.04,6,4.0,4.0
MMLU-Redux,True,anatomy,NON-REASONING,50,19,0,38.0,0.0,2260.9882275447812,0.0840340509894304,190,3.8,6,4.0,4.0
MMLU-Redux,True,business_ethics,NON-REASONING,50,32,0,64.0,0.0,2318.335599291139,0.0862687869957881,200,4.0,4,4.0,4.0
MMLU-Redux,True,clinical_knowledge,NON-REASONING,50,22,0,44.0,0.0,2204.893633117495,0.08889317700231913,196,3.92,4,4.0,4.0
MMLU-Redux,True,college_chemistry,NON-REASONING,50,21,0,42.0,0.0,2236.5258986655845,0.08942440600367263,200,4.0,4,4.0,4.0
MMLU-Redux,True,college_computer_science,NON-REASONING,50,18,0,36.0,0.0,1797.026378662288,0.11018202200648375,198,3.96,4,4.0,4.0
MMLU-Redux,True,college_mathematics,NON-REASONING,50,23,0,46.0,0.0,2026.2132217454187,0.09870629500073846,200,4.0,4,4.0,4.0
MMLU-Redux,True,college_medicine,NON-REASONING,50,23,0,46.0,0.0,1925.1323500186172,0.10440840599767398,201,4.02,7,4.0,4.0
MMLU-Redux,True,college_physics,NON-REASONING,50,17,0,34.0,0.0,2078.2815721362617,0.09623335099604446,200,4.0,4,4.0,4.0
MMLU-Redux,True,econometrics,NON-REASONING,50,17,0,34.0,0.0,1849.462654456527,0.10813951799354982,200,4.0,6,4.0,4.0
MMLU-Redux,True,electrical_engineering,NON-REASONING,50,27,0,54.0,0.0,2675.027372409094,0.07551324598898645,202,4.04,6,4.0,4.0
MMLU-Redux,True,formal_logic,NON-REASONING,50,20,0,40.0,0.0,1817.3530390601907,0.11005016400304157,200,4.0,4,4.0,4.0
MMLU-Redux,True,global_facts,NON-REASONING,50,10,0,20.0,0.0,2458.6835171954285,0.07971745799295604,196,3.92,4,4.0,4.0
MMLU-Redux,True,high_school_chemistry,NON-REASONING,50,20,0,40.0,0.0,2037.9797290657416,0.0981364030012628,200,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_mathematics,NON-REASONING,50,18,0,36.0,0.0,2190.4859230835987,0.09313002099224832,204,4.08,6,4.0,4.0
MMLU-Redux,True,high_school_physics,NON-REASONING,50,18,0,36.0,0.0,2011.6010037940268,0.09942329498881008,200,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_statistics,NON-REASONING,50,18,0,36.0,0.0,1595.0893706086597,0.1253848240012303,200,4.0,4,4.0,4.0
KMMLU-Redux-LG,True,total,NON-REASONING,50,8,0,16.0,0.0,2122.5942337810193,0.09516656400228385,202,4.04,6,4.0,4.0
KMMLU-Redux-Full,False,total,NON-REASONING,50,9,0,18.0,0.0,5995.43355597987,0.03369230900716502,202,4.04,6,4.0,4.0
KMMLU-Pro,False,total,NON-REASONING,50,12,4,24.0,8.0,1303.5454778587311,0.1549619889992755,202,4.04,6,4.0,4.0
ARC-Challenge,False,total,NON-REASONING,50,31,1,62.0,2.0,2163.674142313568,0.09197318399674259,199,3.98,5,4.0,4.0
KMMLU,True,Accounting,REASONING,50,26,0,52.0,0.0,4196.189066594584,4.4969375069922535,18870,377.4,1314,293.5,1030.7499999999993
KMMLU,True,Agricultural-Sciences,REASONING,50,14,0,28.000000000000004,0.0,6712.336540470483,1.8148672860115767,12182,243.64,528,236.5,374.8499999999999
KMMLU,True,Aviation-Engineering-and-Maintenance,REASONING,50,20,0,40.0,0.0,6089.797272103848,2.232422425993718,13595,271.9,666,259.5,523.75
KMMLU,True,Biology,REASONING,50,12,0,24.0,0.0,6060.952256035284,2.0161848309944617,12220,244.4,603,237.5,393.44999999999993
KMMLU,True,Chemical-Engineering,REASONING,50,27,0,54.0,0.0,3295.386972829457,7.1584916110005,23590,471.8,2232,346.0,1303.0999999999997
KMMLU,True,Chemistry,REASONING,50,27,0,54.0,0.0,3678.222220633972,5.589384970997344,20559,411.18,1706,316.0,900.9999999999998
KMMLU,True,Civil-Engineering,REASONING,50,22,0,44.0,0.0,4951.8899293364475,4.674780806992203,23149,462.98,1373,318.5,1092.05
KMMLU,True,Computer-Science,REASONING,50,27,0,54.0,0.0,4722.778792484806,2.407057476011687,11368,227.36,760,204.0,425.84999999999985
KMMLU,True,Construction,REASONING,50,21,0,42.0,0.0,5220.078352181236,2.6796532650041627,13988,279.76,818,261.0,566.5999999999999
KMMLU,True,Criminal-Law,REASONING,50,18,0,36.0,0.0,5717.172682349924,2.561405928005115,14644,292.88,730,264.5,469.24999999999994
KMMLU,True,Economics,REASONING,50,35,0,70.0,0.0,6469.149855238999,2.1922509630094282,14182,283.64,626,262.5,511.7999999999999
KMMLU,True,Education,REASONING,50,31,0,62.0,0.0,7866.558170877504,1.5390466500102775,12107,242.14,416,241.5,334.2
KMMLU,True,Electrical-Engineering,REASONING,50,18,0,36.0,0.0,2815.005241388871,8.372630946993013,23569,471.38,2573,316.0,1303.199999999999
KMMLU,True,Electronics-Engineering,REASONING,50,29,0,57.99999999999999,0.0,3525.6640673022425,4.586370025994256,16170,323.4,1464,278.0,544.8999999999996
KMMLU,True,Energy-Management,REASONING,50,16,0,32.0,0.0,4050.850237269136,6.681313406996196,27065,541.3,2003,352.0,1577.65
KMMLU,True,Environmental-Science,REASONING,50,17,0,34.0,0.0,3849.3325219736143,4.778490788987256,18394,367.88,1490,280.0,872.9
KMMLU,True,Gas-Technology-and-Engineering,REASONING,50,18,0,36.0,0.0,4462.127135222313,4.189257596997777,18693,373.86,1262,268.5,864.9999999999999
KMMLU,True,Geomatics,REASONING,50,22,0,44.0,0.0,4309.266015395899,4.432309338008054,19100,382.0,1315,301.0,1028.7999999999993
KMMLU,True,Health,REASONING,50,34,0,68.0,0.0,6668.84548138093,1.742730436992133,11622,232.44,492,219.5,366.44999999999993
KMMLU,True,Industrial-Engineer,REASONING,50,21,0,42.0,0.0,6603.9648332572515,1.9803255059960065,13078,261.56,563,243.0,456.24999999999983
KMMLU,True,Information-Technology,REASONING,50,24,0,48.0,0.0,6982.168851276435,1.8855172769981436,13165,263.3,538,241.5,454.9
