Benchmark,Contest,Subject,N,Correct,Invalid,Accuracy,Invalid_Rate,Avg_Tokens,Max_Tokens,P50_Tokens,P95_Tokens
KMMLU,True,Accounting,50,21,0,42.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Agricultural-Sciences,50,15,0,30.0,0.0,4.2,6,4.0,6.0
KMMLU,True,Aviation-Engineering-and-Maintenance,50,18,0,36.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Biology,50,17,0,34.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Chemical-Engineering,50,20,0,40.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Chemistry,50,19,0,38.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Civil-Engineering,50,14,0,28.000000000000004,0.0,4.0,4,4.0,4.0
KMMLU,True,Computer-Science,50,24,2,48.0,4.0,3.98,5,4.0,4.0
KMMLU,True,Construction,50,23,0,46.0,0.0,4.04,6,4.0,4.0
KMMLU,True,Criminal-Law,50,13,0,26.0,0.0,4.04,6,4.0,4.0
KMMLU,True,Economics,50,30,0,60.0,0.0,4.04,6,4.0,4.0
KMMLU,True,Education,50,23,0,46.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Electrical-Engineering,50,16,0,32.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Electronics-Engineering,50,26,0,52.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Energy-Management,50,6,0,12.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Environmental-Science,50,14,0,28.000000000000004,0.0,4.2,6,4.0,6.0
KMMLU,True,Gas-Technology-and-Engineering,50,13,0,26.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Geomatics,50,18,0,36.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Health,50,29,0,57.99999999999999,0.0,4.0,4,4.0,4.0
KMMLU,True,Industrial-Engineer,50,19,0,38.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Information-Technology,50,19,0,38.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Interior-Architecture-and-Design,50,25,0,50.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Korean-History,50,20,1,40.0,2.0,4.86,7,4.0,6.0
KMMLU,True,Management,50,19,0,38.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Marketing,50,25,0,50.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Math,50,18,0,36.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Patent,50,20,0,40.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Political-Science-and-Sociology,50,29,1,57.99999999999999,2.0,4.06,7,4.0,4.0
KMMLU,True,Real-Estate,50,14,0,28.000000000000004,0.0,4.08,6,4.0,4.0
KMMLU,True,Social-Welfare,50,17,0,34.0,0.0,4.0,4,4.0,4.0
KMMLU,True,Taxation,50,18,0,36.0,0.0,4.04,6,4.0,4.0
MMLU-Redux,True,anatomy,50,19,0,38.0,0.0,3.8,6,4.0,4.0
MMLU-Redux,True,business_ethics,50,32,0,64.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,clinical_knowledge,50,22,0,44.0,0.0,3.92,4,4.0,4.0
MMLU-Redux,True,college_chemistry,50,21,0,42.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,college_computer_science,50,18,0,36.0,0.0,3.96,4,4.0,4.0
MMLU-Redux,True,college_mathematics,50,23,0,46.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,college_medicine,50,23,0,46.0,0.0,4.02,7,4.0,4.0
MMLU-Redux,True,college_physics,50,17,0,34.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,econometrics,50,17,0,34.0,0.0,4.0,6,4.0,4.0
MMLU-Redux,True,electrical_engineering,50,27,0,54.0,0.0,4.04,6,4.0,4.0
MMLU-Redux,True,formal_logic,50,20,0,40.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,global_facts,50,10,0,20.0,0.0,3.92,4,4.0,4.0
MMLU-Redux,True,high_school_chemistry,50,20,0,40.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_mathematics,50,18,0,36.0,0.0,4.08,6,4.0,4.0
MMLU-Redux,True,high_school_physics,50,18,0,36.0,0.0,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_statistics,50,18,0,36.0,0.0,4.0,4,4.0,4.0
KMMLU-Redux-LG,True,total,50,8,0,16.0,0.0,4.04,6,4.0,4.0
