Benchmark,Contest,Subject,Mode,N,Correct,Invalid,Accuracy,Invalid_Rate,TPS,Wall_Time,Total_Tokens,Avg_Tokens,Max_Tokens,P50_Tokens,P95_Tokens
KMMLU,True,Accounting,NON-REASONING,50,16,0,32.0,0.0,1157.3651811162233,0.1883588719938416,218,4.36,6,4.0,6.0
KMMLU,True,Agricultural-Sciences,NON-REASONING,50,13,0,26.0,0.0,2234.5098947301135,0.09487539101974107,212,4.24,6,4.0,6.0
KMMLU,True,Aviation-Engineering-and-Maintenance,NON-REASONING,50,16,0,32.0,0.0,2335.14503241254,0.0865042629884556,202,4.04,6,4.0,4.0
KMMLU,True,Biology,NON-REASONING,50,12,0,24.0,0.0,2440.4236369018913,0.08359204398584552,204,4.08,6,4.0,4.0
KMMLU,True,Chemical-Engineering,NON-REASONING,50,18,0,36.0,0.0,2090.6381130605046,0.09853450901573524,206,4.12,6,4.0,5.099999999999994
KMMLU,True,Chemistry,NON-REASONING,50,19,0,38.0,0.0,2166.4879736406324,0.09416161201079376,204,4.08,6,4.0,4.0
KMMLU,True,Civil-Engineering,NON-REASONING,50,16,0,32.0,0.0,1872.4859604197259,0.11001417599618435,206,4.12,6,4.0,5.099999999999994
KMMLU,True,Computer-Science,NON-REASONING,50,20,2,40.0,4.0,2616.961918184144,0.0813920900109224,213,4.26,7,4.0,6.0
KMMLU,True,Construction,NON-REASONING,50,15,0,30.0,0.0,2130.5750431133592,0.0966875119775068,206,4.12,6,4.0,5.099999999999994
KMMLU,True,Criminal-Law,NON-REASONING,50,19,3,38.0,6.0,1383.75991678433,0.17705383501015604,245,4.9,9,4.0,7.6499999999999915
KMMLU,True,Economics,NON-REASONING,50,24,0,48.0,0.0,1942.112659699618,0.11224889499135315,218,4.36,6,4.0,6.0
KMMLU,True,Education,NON-REASONING,50,21,2,42.0,4.0,1976.449692514293,0.1143464469932951,226,4.52,6,4.0,6.0
KMMLU,True,Electrical-Engineering,NON-REASONING,50,15,0,30.0,0.0,2051.2149169615454,0.09847822299343534,202,4.04,6,4.0,4.0
KMMLU,True,Electronics-Engineering,NON-REASONING,50,24,1,48.0,2.0,2279.429131262633,0.0916896240087226,209,4.18,7,4.0,6.0
KMMLU,True,Energy-Management,NON-REASONING,50,4,0,8.0,0.0,2183.963662483338,0.09615544599364512,210,4.2,8,4.0,6.0
KMMLU,True,Environmental-Science,NON-REASONING,50,15,0,30.0,0.0,2150.137496367434,0.10324921098072082,222,4.44,6,4.0,6.0
KMMLU,True,Gas-Technology-and-Engineering,NON-REASONING,50,11,0,22.0,0.0,2052.4859889454965,0.09841723699355498,202,4.04,6,4.0,4.0
KMMLU,True,Geomatics,NON-REASONING,50,16,0,32.0,0.0,2153.4764023723656,0.0956592790025752,206,4.12,6,4.0,5.099999999999994
KMMLU,True,Health,NON-REASONING,50,24,0,48.0,0.0,1896.1552908806289,0.1065313589933794,202,4.04,6,4.0,4.0
KMMLU,True,Industrial-Engineer,NON-REASONING,50,17,0,34.0,0.0,2249.3842529421636,0.091580617998261,206,4.12,6,4.0,5.099999999999994
KMMLU,True,Information-Technology,NON-REASONING,50,16,1,32.0,2.0,2416.0594016981545,0.08402111299801618,203,4.06,7,4.0,4.0
KMMLU,True,Interior-Architecture-and-Design,NON-REASONING,50,28,0,56.00000000000001,0.0,2270.153754015671,0.0916237499914132,208,4.16,6,4.0,6.0
KMMLU,True,Korean-History,NON-REASONING,50,10,11,20.0,22.0,2099.2993733369267,0.1352832300181035,284,5.68,6,6.0,6.0
KMMLU,True,Management,NON-REASONING,50,18,0,36.0,0.0,1801.8758770238728,0.11765516299055889,212,4.24,6,4.0,6.0
KMMLU,True,Marketing,NON-REASONING,50,20,0,40.0,0.0,2203.3362224402845,0.09258686800603755,204,4.08,6,4.0,4.0
KMMLU,True,Math,NON-REASONING,50,15,0,30.0,0.0,2169.0125636382627,0.09405201399931684,204,4.08,6,4.0,4.0
KMMLU,True,Patent,NON-REASONING,50,19,1,38.0,2.0,1232.8363884451758,0.20116213499568403,248,4.96,6,4.0,6.0
KMMLU,True,Political-Science-and-Sociology,NON-REASONING,50,26,1,52.0,2.0,1932.6280711243223,0.12056122100329958,233,4.66,7,4.0,6.0
KMMLU,True,Real-Estate,NON-REASONING,50,13,0,26.0,0.0,1806.1320729540937,0.14063201899989508,254,5.08,6,6.0,6.0
KMMLU,True,Social-Welfare,NON-REASONING,50,17,0,34.0,0.0,2049.6997393425017,0.09855101999710314,202,4.04,6,4.0,4.0
KMMLU,True,Taxation,NON-REASONING,50,14,0,28.000000000000004,0.0,1782.1657933996628,0.14701213600346819,262,5.24,6,6.0,6.0
MMLU-Redux,True,anatomy,NON-REASONING,50,18,0,36.0,0.0,2472.4748040450213,0.08089061197824776,200,4.0,4,4.0,4.0
MMLU-Redux,True,business_ethics,NON-REASONING,50,30,0,60.0,0.0,2156.9080621757203,0.09457983099855483,204,4.08,6,4.0,4.0
MMLU-Redux,True,clinical_knowledge,NON-REASONING,50,26,0,52.0,0.0,2447.2946349249205,0.08172289398498833,200,4.0,4,4.0,4.0
MMLU-Redux,True,college_chemistry,NON-REASONING,50,16,0,32.0,0.0,2290.4887635795044,0.08731760800583288,200,4.0,4,4.0,4.0
MMLU-Redux,True,college_computer_science,NON-REASONING,50,23,0,46.0,0.0,1727.722276766117,0.11691693897591904,202,4.04,6,4.0,4.0
MMLU-Redux,True,college_mathematics,NON-REASONING,50,24,0,48.0,0.0,2250.5424478539408,0.08886746401549317,200,4.0,4,4.0,4.0
MMLU-Redux,True,college_medicine,NON-REASONING,50,22,0,44.0,0.0,2017.453489751214,0.10012622398789972,202,4.04,6,4.0,4.0
MMLU-Redux,True,college_physics,NON-REASONING,50,15,0,30.0,0.0,2110.569284674416,0.09476116299629211,200,4.0,4,4.0,4.0
MMLU-Redux,True,econometrics,NON-REASONING,50,18,0,36.0,0.0,2025.8160571218375,0.09971290300018154,202,4.04,6,4.0,4.0
MMLU-Redux,True,electrical_engineering,NON-REASONING,50,24,1,48.0,2.0,2759.6202589391614,0.07319847698090598,202,4.04,6,4.0,4.0
MMLU-Redux,True,formal_logic,NON-REASONING,50,23,1,46.0,2.0,1871.7461379307763,0.1089891390001867,204,4.08,6,4.0,4.0
MMLU-Redux,True,global_facts,NON-REASONING,50,19,0,38.0,0.0,2490.6836411938793,0.08110223099356517,202,4.04,6,4.0,4.0
MMLU-Redux,True,high_school_chemistry,NON-REASONING,50,19,0,38.0,0.0,2008.5532029752114,0.09957416099496186,200,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_mathematics,NON-REASONING,50,18,0,36.0,0.0,2139.41154394837,0.09348365000914782,200,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_physics,NON-REASONING,50,16,0,32.0,0.0,2068.636960682069,0.09668201999738812,200,4.0,4,4.0,4.0
MMLU-Redux,True,high_school_statistics,NON-REASONING,50,18,0,36.0,0.0,1596.7072670838002,0.12651035300223157,202,4.04,6,4.0,4.0
KMMLU-Redux-LG,True,total,NON-REASONING,50,12,1,24.0,2.0,2391.7228617911587,0.09365633601555601,224,4.48,6,4.0,6.0
KMMLU,True,Accounting,REASONING,50,24,1,48.0,2.0,3886.3824489527456,4.609170670999447,17913,358.26,1400,286.5,862.2499999999984
KMMLU,True,Agricultural-Sciences,REASONING,50,15,0,30.0,0.0,7512.087158975339,1.5373889780021273,11549,230.98,452,222.0,383.65
KMMLU,True,Aviation-Engineering-and-Maintenance,REASONING,50,16,0,32.0,0.0,6613.763911285747,1.9730066230113152,13049,260.98,586,233.0,508.99999999999983
KMMLU,True,Biology,REASONING,50,16,0,32.0,0.0,7011.499531337933,1.8257150189892855,12801,256.02,547,256.5,396.29999999999995
KMMLU,True,Chemical-Engineering,REASONING,50,24,0,48.0,0.0,3654.973844133812,5.622475256008329,20550,411.0,1805,359.0,748.0
KMMLU,True,Chemistry,REASONING,50,21,1,42.0,2.0,793.2629319339899,46.54320593297598,36921,738.42,16188,350.0,1254.2499999999986
